Payment_Gateway_ID,total_revenue,total_cash
PAY0921,,816.4841700000001
PAY0922,,10873.35111
PAY0923,,44837.19
PAY0925,,573.82805
PAY0926,4700.780672193678,1360.05
PAY0927,,83902.02659
PAY0928,,95285.62401
PAY0929,,99514.95
PAY0930,4306.272579274608,87583.66187
PAY0931,,37349.37044
PAY0932,,2241.02
PAY0933,3456.311614126733,37865.43854
PAY0934,,143020.0
PAY0935,2669.8381694396076,387.64
PAY0936,764.3854114003982,52888.62255
PAY0937,589.017513490427,2.8392299999999997
PAY0938,,101056.54
PAY0939,,3771.77286
PAY0940,,503.31578
PAY0941,,121619.18623
PAY0942,1220.123031030579,41023.95665
PAY0943,,3471.9700000000003
PAY0944,4353.519774449816,1.46289
PAY0945,,178703.24135
PAY0946,,1482.7
PAY0947,,3146.53698
PAY0948,,149123.2
PAY0949,4900.967844804153,
PAY0950,,63466.67
PAY0951,,96006.19
PAY0952,2011.8535811848285,34076.56057
PAY0953,,72095.0
PAY0954,1614.3499908858623,58641.16425
PAY0955,2461.0481321022185,1289.43
PAY0956,,74590.21
PAY0957,,98.27982
PAY0958,,462.95624
PAY0959,,48945.65
PAY0960,,12231.01365
PAY0961,,23889.218380000002
PAY0962,947.0013487190506,6314.735
PAY0963,4751.407196790395,169917.63094
PAY0964,1649.9953639311425,165381.20382999998
PAY0965,2539.6778891119766,2757.66
PAY0966,3218.2379302898757,1307.91
PAY0967,,3891.44773
PAY0968,3045.937892315424,1427.00758
PAY0969,786.4951381072875,64088.7
PAY0970,,120631.72
PAY0971,,2586.12421
PAY0972,,19863.07
PAY0973,4416.919411726825,1007.29
PAY0974,,98733.97792
PAY0975,,7482.65
PAY0976,,3262.62162
PAY0977,,78669.0
PAY0978,,36984.29
PAY0979,,1998.7289700000001
PAY0980,,11841.0
PAY0981,2268.390057040626,27084.16
PAY0982,2861.0500274439564,150250.51352
PAY0983,,83635.07635
PAY0984,2367.213905664207,80509.67268
PAY0985,,2281.4246599999997
PAY0986,3387.1663013609373,2635.1100500000002
PAY0987,,4573.16
PAY0988,,72226.2
PAY0989,3927.037635223761,4020.51874
PAY0990,,128590.74
PAY0992,,4.67994
PAY0993,,1172.76709
PAY0994,2708.8029392432563,3.1390700000000002
PAY0995,,69902.33192
PAY0996,3307.146773749987,13926.29453
PAY0997,2687.4543228007906,2311.37
PAY0998,,125660.91
PAY1000,3312.3374418851845,4745.2339
